ncsDegr,ncsLclasCd,ncsLclasCdNm,ncsMclasCd,ncsMclasCdNm,ncsSclasCd,ncsSclasCdNm,ncsSubdCd,ncsSubdCdNm,BASE_DATE
11,01,사업관리,01,사업관리,01,프로젝트관리,01,공적개발원조사업관리,2019-11-27 00:00:00
11,01,사업관리,01,사업관리,01,프로젝트관리,02,프로젝트관리,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,01,총무,01,총무,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,01,총무,02,자산관리,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,01,총무,03,비상기획,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,02,인사·조직,01,인사,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,02,인사·조직,02,노무관리,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,03,일반사무,01,비서,2019-11-27 00:00:00
11,02,경영·회계·사무,02,총무ㆍ인사,03,일반사무,02,사무행정,2019-11-27 00:00:00
11,02,경영·회계·사무,03,재무ㆍ회계,01,재무,01,예산,2019-11-27 00:00:00
11,02,경영·회계·사무,03,재무ㆍ회계,01,재무,02,자금,2019-11-27 00:00:00
11,02,경영·회계·사무,03,재무ㆍ회계,02,회계,01,회계·감사,2019-11-27 00:00:00
11,02,경영·회계·사무,03,재무ㆍ회계,02,회계,02,세무,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,01,생산관리,01,구매조달,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,01,생산관리,02,자재관리,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,01,생산관리,03,공정관리,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,01,생산관리,04,SCM,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,02,품질관리,01,QM/QC관리,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,03,무역·유통관리,01,물류관리,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,03,무역·유통관리,02,수출입관리,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,03,무역·유통관리,03,원산지관리,2019-11-27 00:00:00
11,02,경영·회계·사무,04,생산ㆍ품질관리,03,무역·유통관리,04,유통관리,2019-11-27 00:00:00
11,03,금융·보험,01,금융,01,금융영업,01,창구사무,2019-11-27 00:00:00
11,03,금융·보험,01,금융,01,금융영업,02,기업영업,2019-11-27 00:00:00
11,03,금융·보험,01,금융,01,금융영업,03,PB영업,2019-11-27 00:00:00
11,03,금융·보험,01,금융,01,금융영업,04,카드영업,2019-11-27 00:00:00
11,03,금융·보험,01,금융,01,금융영업,05,여신전문금융영업,2019-11-27 00:00:00
11,03,금융·보험,01,금융,02,금융상품개발,01,여수신상품개발,2019-11-27 00:00:00
11,03,금융·보험,01,금융,02,금융상품개발,02,투자상품개발,2019-11-27 00:00:00
11,03,금융·보험,01,금융,02,금융상품개발,03,연금상품개발,2019-11-27 00:00:00
11,03,금융·보험,01,금융,02,금융상품개발,04,카드상품개발,2019-11-27 00:00:00
11,03,금융·보험,01,금융,03,신용분석,01,개인신용분석,2019-11-27 00:00:00
11,03,금융·보험,01,금융,03,신용분석,02,기업신용분석,2019-11-27 00:00:00
11,03,금융·보험,01,금융,03,신용분석,03,여신심사,2019-11-27 00:00:00
11,03,금융·보험,01,금융,04,자산운용,01,펀드운용,2019-11-27 00:00:00
11,03,금융·보험,01,금융,04,자산운용,02,주식·채권운용,2019-11-27 00:00:00
11,03,금융·보험,01,금융,04,자산운용,03,파생상품운용,2019-11-27 00:00:00
11,03,금융·보험,01,금융,04,자산운용,04,대체투자,2019-11-27 00:00:00
11,03,금융·보험,01,금융,04,자산운용,05,신탁자산관리,2019-11-27 00:00:00
11,03,금융·보험,01,금융,05,금융영업지원,01,결제,2019-11-27 00:00:00
