ADDRESS,CONTENTS,COURSE_MAN,EI_EMPL_CNT3,EI_EMPL_CNT3_GT10,EI_EMPL_RATE3,EI_EMPL_RATE6,GRADE,IMG_GUBUN,INST_CD,NCS_CD,REAL_MAN,REG_COURSE_MAN,SUB_TITLE,SUB_TITLE_LINK,SUPER_VISER,TEL_NO,TITLE,TITLE_ICON,TITLE_LINK,TRA_END_DATE,TRA_START_DATE,TRAIN_TARGET,TRAIN_TARGET_CD,TRAINST_CST_ID,TRPR_DEGR,TRPR_ID,YARD_MAN,BASE_DATE
서울 강남구,,,,,,,,,,,,,,,,,스크래치로 배우는 COS 2급(코딩활용능력평가),,,,,,,,,,,2020-11-02 00:00:00
서울 강남구,,,,,,,,,,,,,,,,,미래의 예측! 빅데이터와 사물인터넷(IoT),,,,,,,,,,,2020-11-02 00:00:00
서울 영등포구,,,,,,,,,,,,,,,,,유니티(Unity) 프로그래밍 시작하기,,,,,,,,,,,2020-11-02 00:00:00
서울 구로구,,,,,,,,,,,,,,,,,[탑강] 침투비파괴검사기능사 필기,,,,,,,,,,,2020-11-02 00:00:00
서울 구로구,,,,,,,,,,,,,,,,,와우패스! 국제무역사 1급 자격대비 과정(이론+문제풀이),,,,,,,,,,,2020-11-02 00:00:00
서울 구로구,,,,,,,,,,,,,,,,,[합격완벽대비반] 전기기사 필기 과정,,,,,,,,,,,2020-11-02 00:00:00
서울 구로구,,,,,,,,,,,,,,,,,[탑강] 전산회계 1급 필기,,,,,,,,,,,2020-11-02 00:00:00
서울 영등포구,,,,,,,,,,,,,,,,,쉽게 배우는 애프터이펙트,,,,,,,,,,,2020-11-02 00:00:00
서울 영등포구,,,,,,,,,,,,,,,,,쉽게 배우는 마야3D,,,,,,,,,,,2020-11-02 00:00:00
서울 구로구,,,,,,,,,,,,,,,,,와우패스! 경영지도사 1차 1교시(중기법회계학경영학) 합격반,,,,,,,,,,,2020-11-02 00:00:00
